origin,client,metric,bin,volume
https://sd.se,desktop,onload,33.4,1.3e-05
https://sd.se,desktop,onload,36.9,1.3e-05
https://sd.se,desktop,onload,37.6,1.3e-05
https://sd.se,desktop,onload,35.7,1.3e-05
https://sd.se,desktop,onload,34.4,1.3e-05
https://sd.se,desktop,onload,38.8,1.3e-05
https://sd.se,desktop,onload,34.0,1.3e-05
https://sd.se,desktop,onload,35.6,1.3e-05
https://sd.se,desktop,onload,38.3,1.3e-05
https://sd.se,desktop,onload,30.1,1.3e-05
https://sd.se,desktop,onload,31.7,1.3e-05
https://sd.se,desktop,onload,30.0,1.3e-05
https://sd.se,desktop,onload,39.4,1.3e-05
https://sd.se,desktop,onload,37.4,1.3e-05
https://sd.se,desktop,onload,37.8,1.3e-05
https://sd.se,desktop,onload,38.4,1.3e-05
https://sd.se,desktop,onload,37.7,1.3e-05
https://sd.se,desktop,onload,30.5,1.3e-05
https://sd.se,desktop,onload,36.3,1.3e-05
https://sd.se,desktop,onload,39.2,1.3e-05
https://sd.se,desktop,onload,39.0,1.3e-05
https://sd.se,desktop,onload,34.1,1.3e-05
https://sd.se,desktop,onload,33.9,1.3e-05
https://sd.se,desktop,onload,36.4,1.3e-05
https://sd.se,desktop,onload,33.3,1.3e-05
https://sd.se,desktop,onload,31.0,1.3e-05
https://sd.se,desktop,onload,33.0,1.3e-05
https://sd.se,desktop,onload,32.9,1.3e-05
https://sd.se,desktop,onload,39.7,1.3e-05
https://sd.se,desktop,onload,37.1,1.3e-05
https://sd.se,desktop,onload,33.8,1.3e-05
https://sd.se,desktop,onload,36.6,1.3e-05
https://sd.se,desktop,onload,31.6,1.3e-05
https://sd.se,desktop,onload,31.5,1.3e-05
https://sd.se,desktop,onload,31.1,1.3e-05
https://sd.se,desktop,onload,31.3,1.3e-05
https://sd.se,desktop,onload,34.7,1.3e-05
https://sd.se,desktop,onload,38.1,1.3e-05
https://sd.se,desktop,onload,36.7,1.3e-05
https://sd.se,desktop,onload,32.6,1.3e-05
https://sd.se,desktop,onload,37.9,1.3e-05
https://sd.se,desktop,onload,32.8,1.3e-05
https://sd.se,desktop,onload,31.4,1.3e-05
https://sd.se,desktop,onload,38.9,1.3e-05
https://sd.se,desktop,onload,32.0,1.3e-05
https://sd.se,desktop,onload,39.6,1.3e-05
https://sd.se,desktop,onload,37.2,1.3e-05
https://sd.se,desktop,onload,33.1,1.3e-05
https://sd.se,desktop,onload,31.9,1.3e-05
https://sd.se,desktop,onload,33.2,1.3e-05
https://sd.se,desktop,onload,34.5,1.3e-05
https://sd.se,desktop,onload,32.1,1.3e-05
https://sd.se,desktop,onload,32.2,1.3e-05
https://sd.se,desktop,onload,34.8,1.3e-05
https://sd.se,desktop,onload,35.4,1.3e-05
https://sd.se,desktop,onload,35.8,1.3e-05
https://sd.se,desktop,onload,35.3,1.3e-05
https://sd.se,desktop,onload,36.1,1.3e-05
https://sd.se,desktop,onload,30.8,1.3e-05
https://sd.se,desktop,onload,39.9,1.3e-05
https://sd.se,desktop,onload,39.8,1.3e-05
https://sd.se,desktop,onload,30.9,1.3e-05
https://sd.se,desktop,onload,37.0,1.3e-05
https://sd.se,desktop,onload,32.5,1.3e-05
https://sd.se,desktop,onload,34.6,1.3e-05
https://sd.se,desktop,onload,30.7,1.3e-05
https://sd.se,desktop,onload,34.3,1.3e-05
